	Award	Date of ceremony	Category	Recipient(s)	Result	Ref.
57	Critics' Choice Movie Awards	2025-01-12	Best Song	"""Compress/Repress"" – Trent Reznor, Atticus Ross, Luca Guadagnino"	Pending	[69]
58	Alliance Of Women Film Journalists Awards	2025-01-07	Best Ensemble Cast and Casting Director	Challengers	Nominated	[70]
59	Women Film Critics Circle	2025-01-15	Best Equality of the Sexes	Challengers	Won	[71]
60	American Cinema Editors Eddie Awards	2025-01-18	Best Edited Feature Film (Comedy, Theatrical)	Marco Costa	Pending	[72]
61	Houston Film Critics Society	2025-01-22	Best Original Score	Trent Reznor & Atticus Ross	Pending	[73]
62	Houston Film Critics Society	2025-01-22	Best Original Song	"""Compress/Repress"" – Trent Reznor & Atticus Ross"	Pending	[73]
63	Costume Designers Guild	2025-02-06	Excellence in Contemporary Film	Jonathan Anderson	Pending	[74]
64	Grammy Awards	2025-02-02	Best Score Soundtrack for Visual Media	Trent Reznor & Atticus Ross	Pending	[75]
65	Black Reel Awards	2025-02-10	Outstanding Film	Challengers	Pending	[76]
66	Black Reel Awards	2025-02-10	Outstanding Lead Performance	Zendaya	Pending	[76]
67	Artios Awards	2025-02-12	Outstanding Achievement in Casting – Big Budget Feature (Comedy)	Francine Maisle, Molly Rose	Pending	[77]
68	Society of Composers & Lyricists	2025-02-12	Outstanding Original Song for a Comedy or Musical Visual Media Production	"""Compress/Repress"" – Trent Reznor & Atticus Ross"	Pending	[78]
69	Dorian Awards	2025-02-13	Film of the Year	Challengers	Pending	[79]
70	Dorian Awards	2025-02-13	LGBTQ Film of the Year	Challengers	Pending	[79]
71	Dorian Awards	2025-02-13	Director of the Year	Luca Guadagnino	Pending	[79]
72	Dorian Awards	2025-02-13	Screenplay of the Year	Justin Kuritzkes	Pending	[79]
73	Dorian Awards	2025-02-13	LGBTQ Screenplay of the Year	Justin Kuritzkes	Pending	[79]
74	Dorian Awards	2025-02-13	Film Music of the Year	Trent Reznor & Atticus Ross	Pending	[79]
75	Writers Guild of America	2025-04-14	Best Original Screenplay	Justin Kuritzkes	Pending	[80]
